/home/aejohnson13/miniforge3/envs/pytorch_env/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
cuda version: 12.8
number of gpus: 8
starting epochs on gpu 0
starting epochs on gpu 2
starting epochs on gpu 1
starting epochs on gpu 6
starting epochs on gpu 7
starting epochs on gpu 4
starting epochs on gpu 3
starting epochs on gpu 5
Epoch 0 time (perf_counter): 10.884s
Epoch 0 time (event): 10.881s
Epoch 0 time (perf_counter): 10.892s
Epoch 0 time (event): 10.889s
Epoch 0 time (perf_counter): 10.895s
Epoch 0 time (event): 10.893s
Epoch 0 time (perf_counter): 10.897s
Epoch 0 time (event): 10.895s
Epoch 0 time (perf_counter): 10.905s
Epoch 0 time (event): 10.902s
Epoch 0 time (perf_counter): 10.914s
Epoch 0 time (event): 10.912s
Epoch 0 time (perf_counter): 10.914s
Epoch 0 time (event): 10.913s
Epoch 0 time (perf_counter): 10.923s
Epoch 0 time (event): 10.920s
Epoch 1 time (perf_counter): 10.490s
Epoch 1 time (event): 10.490s
Epoch 1 time (perf_counter): 10.510s
Epoch 1 time (event): 10.510s
Epoch 1 time (perf_counter): 10.487s
Epoch 1 time (event): 10.487s
Epoch 1 time (perf_counter): 10.500s
Epoch 1 time (event): 10.500s
Epoch 1 time (perf_counter): 10.519s
Epoch 1 time (event): 10.519s
Epoch 1 time (perf_counter): 10.515s
Epoch 1 time (event): 10.515s
Epoch 1 time (perf_counter): 10.493s
Epoch 1 time (event): 10.493s
Epoch 1 time (perf_counter): 10.504s
Epoch 1 time (event): 10.504s
Epoch 2 time (perf_counter): 10.458s
Epoch 2 time (event): 10.458s
Epoch 2 time (perf_counter): 10.477s
Epoch 2 time (event): 10.477s
Epoch 2 time (perf_counter): 10.484s
Epoch 2 time (event): 10.484s
Epoch 2 time (perf_counter): 10.494s
Epoch 2 time (event): 10.494s
Epoch 2 time (perf_counter): 10.470s
Epoch 2 time (event): 10.470s
Epoch 2 time (perf_counter): 10.478s
Epoch 2 time (event): 10.477s
Epoch 2 time (perf_counter): 10.486s
Epoch 2 time (event): 10.486s
Epoch 2 time (perf_counter): 10.482s
